Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Furcellaria;Furcellaria fatigiata;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.36-0.54;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Furcellaria;Furcellaria fatigiata;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.23-0.94;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Dictosiphon;Dictosiphon foeniculaceus;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);1.64-2.99;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Dictosiphon;Dictosiphon foeniculaceus;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);1.47-11.38;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.47-4.59;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Ceramium;Ceramium tenuicorne;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.95-1.36;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Ceramium;Ceramium tenuicorne;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);098-1.32;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Acrosiphonia;Acrosiphonia centralis;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.75-0.83;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Acrosiphonia;Acrosiphonia centralis;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);1,86;NA;mgC g dwt h
892;Choo, K., Nilsson, J., Peders‚n, M., & Snoeijs, P. (2005). Photosynthesis, carbon uptake and antioxidant defence in two coexisting filamentous green algae under different stress conditions. Marine Ecology Progress Series, 292, 127?138. https://doi.org/10.3354/meps292127;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;Photosynthesis and carbon uptake;Lab;Experiment;Northern Baltic Proper;;;;Present;2005;2005;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;carbon capture and photosynthesis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;3;P-Value;;3;
1513;Buapet, P., Gullstr”m, M., & Bj”rk, M. (2013). Photosynthetic activity of seagrasses and macroalgae in temperate shallow waters can alter seawater pH and total inorganic carbon content at the scale of a coastal embayment. Marine and Freshwater Research, 64(11), 1040. https://doi.org/10.1071/mf12124;Reviewer 3;pH changes in Zostera meadow, regulating;Include;Include;binding carbon from the water body and increasing pH;Seagrass;Other Angiosperms;Ruppia;Ruppia maritima;test greater plant biomass caused greater diel fluctuations in pH and different plant species have different capacity to alter seawater pH.;Lab;Experiment;Skagerrak;;;Fiskeb„ckskil;Present;2010;2010;1;Light;Light;three biomass levels (~30, 60, 90 g fresh weight (FW) per tank for Z. marina and 10, 30, 60 g FW per tank for R. maritima), 18-h light cycle (from0600 hours to 2400 hours) provided by halogen lamps in addition to the natural light;"At 30-g FW per tank, there was no difference in seawater pH over time between the two species; a clear difference between the species was observed at 60-g FW per tank, Increases in pH followed the light exposure and accordingly pH increased while the concentration of DIC decreased";positive;Regulation & Maintenance;Carbon sequestration;Carbon sink;pH change depended on light regime, biomass level and plant species;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;4;P-Value;< 0.05;3;
1513;Buapet, P., Gullstr”m, M., & Bj”rk, M. (2013). Photosynthetic activity of seagrasses and macroalgae in temperate shallow waters can alter seawater pH and total inorganic carbon content at the scale of a coastal embayment. Marine and Freshwater Research, 64(11), 1040. https://doi.org/10.1071/mf12124;Reviewer 3;pH changes in Zostera meadow, regulating;Include;Include;binding carbon from the water body and increasing pH;Seagrass;Seagrass;Zostera;Zostera marina;test greater plant biomass caused greater diel fluctuations in pH and different plant species have different capacity to alter seawater pH.;Lab;Experiment;Skagerrak;;;Fiskeb„ckskil;Present;2010;2010;1;Light;Light;three biomass levels (~30, 60, 90 g fresh weight (FW) per tank for Z. marina and 10, 30, 60 g FW per tank for R. maritima), 18-h light cycle (from0600 hours to 2400 hours) provided by halogen lamps in addition to the natural light;"At 30-g FW per tank, there was no difference in seawater pH over time between the two species; a clear difference between the species was observed at 60-g FW per tank, Increases in pH followed the light exposure and accordingly pH increased while the concentration of DIC decreased";positive;Regulation & Maintenance;Carbon sequestration;Carbon sink;pH change depended on light regime, biomass level and plant species;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;4;P-Value;< 0.05;3;
1513;Buapet, P., Gullstr”m, M., & Bj”rk, M. (2013). Photosynthetic activity of seagrasses and macroalgae in temperate shallow waters can alter seawater pH and total inorganic carbon content at the scale of a coastal embayment. Marine and Freshwater Research, 64(11), 1040. https://doi.org/10.1071/mf12124;Reviewer 3;pH changes in Zostera meadow, regulating;Include;Include;binding carbon from the water body and increasing pH;Seagrass;Other Angiosperms;Ruppia;Ruppia maritima;to explore the natural variability of pH, total alkalinity and the concentration of DIC ;Field;Observational;Skagerrak;58,33333;11,66667;;Present;2010;2010;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;photosynthetic activity of marine macrophytes can alter the coastal pH and the concentration of DIC;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;4;P-Value;< 0.05;NA;
1513;Buapet, P., Gullstr”m, M., & Bj”rk, M. (2013). Photosynthetic activity of seagrasses and macroalgae in temperate shallow waters can alter seawater pH and total inorganic carbon content at the scale of a coastal embayment. Marine and Freshwater Research, 64(11), 1040. https://doi.org/10.1071/mf12124;Reviewer 3;pH changes in Zostera meadow, regulating;Include;Include;binding carbon from the water body and increasing pH;Seagrass;Seagrass;Zostera;Zostera marina;to explore the natural variability of pH, total alkalinity and the concentration of DIC ;Field;Observational;Skagerrak;58,33333;11,66667;;Present;2010;2010;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;photosynthetic activity of marine macrophytes can alter the coastal pH and the concentration of DIC;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;4;P-Value;< 0.05;NA;
1874;Dahl, M., Deyanova, D., Gtschow, S., Asplund, M. E., Lyimo, L. D., Karamfilov, V., Santos, R., Bj”rk, M., & Gullstr”m, M. (2016). Sediment Properties as Important Predictors of Carbon Storage in Zostera marina Meadows: A Comparison of Four European Areas. PLOS ONE, 11(12), e0167493. https://doi.org/10.1371/journal.pone.0167493;Reviewer 4;Zostera marina meadows, change of carbon and the effects of it in the future;Include;Include;seagrass meadows as an corbon sink, depending on the species composition and enviromental conditions;Seagrass;Seagrass;Zostera;Zostera marina;Carbon storage and sediment, comparison between dirfferent areas and vegetated/unvegetated areas;Field;Observational;Skagerrak;58,333;11,55;Gullmer Fjord;Present;2013;2014;2;Nutrients;Nutrients;biomass measurements: height, density and coverage, carbon and nitrogen content, sediment measurements: grain size, different areas and different depth;Zostera marina meadows have an significantly higher carbon content then the unvegetated area, Gullmer Fjord has the largest amount of carbon in the sediment;NA;Regulation & Maintenance;Carbon sequestration;Carbon sink;;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;No;;english;5;P-Value;<0.001;n = 6 for each meadow;ANOVA and PLS used, C org : y = -0,87 ln(x) + 0,3845 (different from the others!)
1874;Dahl, M., Deyanova, D., Gtschow, S., Asplund, M. E., Lyimo, L. D., Karamfilov, V., Santos, R., Bj”rk, M., & Gullstr”m, M. (2016). Sediment Properties as Important Predictors of Carbon Storage in Zostera marina Meadows: A Comparison of Four European Areas. PLOS ONE, 11(12), e0167493. https://doi.org/10.1371/journal.pone.0167493;Reviewer 4;Zostera marina meadows, change of carbon and the effects of it in the future;Include;Include;seagrass meadows as an corbon sink, depending on the species composition and enviromental conditions;Seagrass;Seagrass;Zostera;Zostera marina;Carbon storage and sediment, comparison between dirfferent areas and vegetated/unvegetated areas;Field;Observational;Western Gotland Basin;58,817;17,65;Ask”;Present;2013;2014;2;Nutrients;Nutrients;biomass measurements: height, density and coverage, carbon and nitrogen content, sediment measurements: grain size, different areas and different depth;Zostera marina meadows have an significantly higher carbon content then the unvegetated area, the Ask” area does not show difference between the depth, low salinity, not that productive;NA;Regulation & Maintenance;Carbon sequestration;Carbon sink;;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;Yes;Ruppia maritima;english;5;P-Value;<0.001;n = 6 for each meadow;ANOVA and PLS used, C org : y = 0,032ln(x) + 0,2225
1931;Choo, K., Snoeijs, P., & Peders‚n, M. (2002). UPTAKE OF INORGANIC CARBON BY CLADOPHORA GLOMERATA (CHLOROPHYTA) FROM THE BALTIC SEA 1. Journal of Phycology, 38(3), 493?502. https://doi.org/10.1046/j.1529-8817.2002.01083.x;Reviewer 4;ecosystemservice in the alga's microenvironment, carbon-concentration, pH;Include;Include;ecosystem service of Cladophora glomerata;Macroalgae;Macroalgae;Cladophora;Cladophora glomerata;carbon uptake in relation to the pH, alkalinity and inorganic carbon concentration;Lab;Experiment;"Eastern Gotland Basin; Bothnian Sea";;;"Eastern Gotland Basin (Ask”); Bothnian Sea (Forsmark)";Present;2002;2002;1;Acidification;Acidification;chemical conditions: pH and alkanility concentration, effects on the carbon uptake;high pH = carbon limitation;NA;Regulation & Maintenance;Carbon sequestration;Carbon sink;regulation of chemical conditions, carbon uptake, energy;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;No;;english;5;R-squared;0,97;24;
2442;Jankowska, E., Michel, L. N., Zaborska, A., & W?odarska-Kowalczuk, M. (2016). Sediment carbon sink in low-density temperate eelgrass meadows (Baltic Sea). Journal of Geophysical Research: Biogeosciences, 121(12), 2918?2934. https://doi.org/10.1002/2016jg003424;Reviewer 4;ecosystem-service by seagrass meadows;Include;Include;"Zostera marina as ""blue carbon sinks""";Seagrass;Seagrass;Zostera;Zostera marina;carbon storage capacity in Zostera marina meadows in the Baltic sea;Field;Observational;Gdansk Basin;;;;Present;2012;2013;2;Temperature and Nutrients;Multiple stressors;moderate temperatures with carbon and POM;accumulation of a large amount of organic carbon, less compared to warmer regions;positive;Regulation & Maintenance;Carbon sequestration;Carbon sink;carbon sinks, uptake ;Does not apply;Qualitative ranking (attributes);Does not apply;Does not apply;Unsure;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;No;;english;5;P-Value;<0,05;96;stations
2601;R”hr, M. E., Bostr”m, C., Canal-Verg‚s, P., & Holmer, M. (2016). Blue carbon stocks in Baltic Sea eelgrass (Zostera marina) meadows. Biogeosciences, 13(22), 6139?6153. https://doi.org/10.5194/bg-13-6139-2016;Reviewer 5;seagrass carbon sink;Include;Include;seegras as cabron sink;Seagrass;Seagrass;Zostera;Zostera marina;Blue carbon stocks in Baltic Sea eelgrass (Zostera marina) meadows;Field;Observational;Aland Sea;;;;Present;2014;2014;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Corg stock integrated over the top 25 cm of the sediment averaged 627 g C / m2 in Finland;Monetary;Does not apply;Existence value (non-use);Price;Meta-analysis - To calculate the present and lost economic value of eelgrass carbon stocks, we used the social cost of carbon of 40.3 EUR / t C (United States Government, 2010) and multiplied this value by the Corg stocks (t C / km2).;281 ? / ha;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;Maurizio;english;5;OTHER (make notes);;10;desciptive, mean and variance
2601;R”hr, M. E., Bostr”m, C., Canal-Verg‚s, P., & Holmer, M. (2016). Blue carbon stocks in Baltic Sea eelgrass (Zostera marina) meadows. Biogeosciences, 13(22), 6139?6153. https://doi.org/10.5194/bg-13-6139-2016;Reviewer 5;seagrass carbon sink;Include;Include;seegras as cabron sink;Seagrass;Seagrass;Zostera;Zostera marina;Blue carbon stocks in Baltic Sea eelgrass (Zostera marina) meadows;Field;Observational;Great Belt;;;;Present;2014;2014;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Corg stock integrated over the top 25 cm of the sediment averaged 4324 g C / m2 in Denmark;Monetary;Does not apply;Existence value (non-use);Price;Meta-analysis - To calculate the present and lost economic value of eelgrass carbon stocks, we used the social cost of carbon of 40.3 EUR / t C (United States Government, 2010) and multiplied this value by the Corg stocks (t C / km2).;1809 ? / ha;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;Maurizio;english;5;OTHER (make notes);;10;desciptive, mean and variance
